FileName_OrigRNA,PathName_OrigRNA,FileName_OrigER,PathName_OrigER,FileName_OrigAGP,PathName_OrigAGP,FileName_OrigMito,PathName_OrigMito,FileName_OrigDNA,PathName_OrigDNA,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_AbsPositionZ,Metadata_AbsTime,Metadata_BinningX,Metadata_BinningY,Metadata_ChannelID,Metadata_ChannelName,Metadata_Col,Metadata_ExposureTime,Metadata_FieldID,Metadata_ImageResolutionX,Metadata_ImageResolutionY,Metadata_ImageSizeX,Metadata_ImageSizeY,Metadata_MainEmissionWavelength,Metadata_MainExcitationWavelength,Metadata_MaxIntensity,Metadata_ObjectiveMagnification,Metadata_ObjectiveNA,Metadata_PlaneID,Metadata_PositionX,Metadata_PositionY,Metadata_PositionZ,Metadata_Row
r03c03f01p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,1,0.134556502,2019-08-26T21:57:28Z,1,1,6,HOECHST 33342,3,0.02,1,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,2,0,0,-2e-6,3
r03c03f01p03-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p03-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p03-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p03-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f01p03-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,1,0.134558499,2019-08-26T21:57:30Z,1,1,6,HOECHST 33342,3,0.02,1,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,3,0,0,0,3
r03c03f02p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,2,0.134560496,2019-08-26T21:57:32Z,1,1,6,HOECHST 33342,3,0.02,2,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,1,-0.001291628,6.45814e-4,-4e-6,3
r03c03f02p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,2,0.134562507,2019-08-26T21:57:33Z,1,1,6,HOECHST 33342,3,0.02,2,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,2,-0.001291628,6.45814e-4,-2e-6,3
r03c03f02p03-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p03-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p03-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p03-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f02p03-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,2,0.134564504,2019-08-26T21:57:35Z,1,1,6,HOECHST 33342,3,0.02,2,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,3,-0.001291628,6.45814e-4,0,3
r03c03f03p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,3,0.134544998,2019-08-26T21:57:37Z,1,1,6,HOECHST 33342,3,0.02,3,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,1,0.001291628,-6.45814e-4,-4e-6,3
r03c03f03p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,3,0.134546995,2019-08-26T21:57:39Z,1,1,6,HOECHST 33342,3,0.02,3,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,2,0.001291628,-6.45814e-4,-2e-6,3
r03c03f03p03-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p03-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p03-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p03-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c03f03p03-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C03,3,0.134549007,2019-08-26T21:57:40Z,1,1,6,HOECHST 33342,3,0.02,3,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,3,0.001291628,-6.45814e-4,0,3
r03c10f01p01-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p01-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p01-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p01-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p01-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C10,1,0.134396002,2019-08-26T22:24:18Z,1,1,6,HOECHST 33342,10,0.02,1,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,1,0,0,-4e-6,3
r03c10f01p02-ch4sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p02-ch5sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p02-ch2sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p02-ch1sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,r03c10f01p02-ch6sk1fk1fl1.tiff,/home/ubuntu/bucket/projects/2019_05_28_Neuronal_Cell_Painting/NCP_PILOT_1/images/BR00106976__2019-08-26T17_45_18-Measurement_1/Images,BR00106976,C10,1,0.134397998,2019-08-26T22:24:20Z,1,1,6,HOECHST 33342,10,0.02,1,2.9898804047838085e-7,2.9898804047838085e-7,2160,2160,456,405,65535,20,1,2,0,0,-2e-6,3
